rgn_id,sciname,iucn_sid,year,eval_yr,category
2014,Eubalaena glacialis,41712,2016,2012,EN
2014,Isurus oxyrinchus,39341,2016,2009,VU
2014,Isurus oxyrinchus,161749,2016,2009,VU
2014,Lamna nasus,39343,2016,2006,CR
2014,Megaptera novaeangliae,13006,2016,2008,LC
2014,Prionace glauca,39381,2016,2009,NT
2014,Ursus maritimus,22823,2016,2015,VU
2014,Alopias vulpinus,39339,2015,2009,VU
2014,Balaena mysticetus,2467,2015,2012,LC
2014,Balaena mysticetus,2472,2015,2012,CR
2014,Balaenoptera acutorostrata,2474,2015,2008,LC
2014,Balaenoptera musculus,2477,2015,2008,EN
2014,Balaenoptera physalus,2478,2015,2013,EN
2014,Cetorhinus maximus,4292,2015,2009,VU
2014,Cetorhinus maximus,39340,2015,2009,EN
2014,Eubalaena glacialis,41712,2015,2012,EN
2014,Isurus oxyrinchus,39341,2015,2009,VU
2014,Isurus oxyrinchus,161749,2015,2009,VU
2014,Lamna nasus,39343,2015,2006,CR
2014,Megaptera novaeangliae,13006,2015,2008,LC
2014,Prionace glauca,39381,2015,2009,NT
2014,Ursus maritimus,22823,2015,2015,VU
2014,Alopias vulpinus,39339,2014,2009,VU
2014,Balaena mysticetus,2467,2014,2012,LC
2014,Balaena mysticetus,2472,2014,2012,CR
2014,Balaenoptera acutorostrata,2474,2014,2008,LC
2014,Balaenoptera musculus,2477,2014,2008,EN
2014,Balaenoptera physalus,2478,2014,2013,EN
2014,Cetorhinus maximus,4292,2014,2009,VU
2014,Cetorhinus maximus,39340,2014,2009,EN
2014,Eubalaena glacialis,41712,2014,2012,EN
2014,Isurus oxyrinchus,39341,2014,2009,VU
2014,Isurus oxyrinchus,161749,2014,2009,VU
2014,Lamna nasus,39343,2014,2006,CR
2014,Megaptera novaeangliae,13006,2014,2008,LC
2014,Prionace glauca,39381,2014,2009,NT
2014,Ursus maritimus,22823,2014,2008,VU
2014,Alopias vulpinus,39339,2013,2009,VU
2014,Balaena mysticetus,2467,2013,2012,LC
2014,Balaena mysticetus,2472,2013,2012,CR
2014,Balaenoptera acutorostrata,2474,2013,2008,LC
2014,Balaenoptera musculus,2477,2013,2008,EN
2014,Balaenoptera physalus,2478,2013,2013,EN
2014,Cetorhinus maximus,4292,2013,2009,VU
2014,Cetorhinus maximus,39340,2013,2009,EN
2014,Eubalaena glacialis,41712,2013,2012,EN
2014,Isurus oxyrinchus,39341,2013,2009,VU
2014,Isurus oxyrinchus,161749,2013,2009,VU
2014,Lamna nasus,39343,2013,2006,CR
2014,Megaptera novaeangliae,13006,2013,2008,LC
2014,Prionace glauca,39381,2013,2009,NT
2014,Ursus maritimus,22823,2013,2008,VU
2014,Alopias vulpinus,39339,2012,2009,VU
2014,Balaena mysticetus,2467,2012,2012,LC
2014,Balaena mysticetus,2472,2012,2012,CR
2014,Balaenoptera acutorostrata,2474,2012,2008,LC
2014,Balaenoptera musculus,2477,2012,2008,EN
2014,Balaenoptera physalus,2478,2012,2008,EN
2014,Cetorhinus maximus,4292,2012,2009,VU
2014,Cetorhinus maximus,39340,2012,2009,EN
2014,Eubalaena glacialis,41712,2012,2012,EN
2014,Isurus oxyrinchus,39341,2012,2009,VU
2014,Isurus oxyrinchus,161749,2012,2009,VU
2014,Lamna nasus,39343,2012,2006,CR
2014,Megaptera novaeangliae,13006,2012,2008,LC
2014,Prionace glauca,39381,2012,2009,NT
2014,Ursus maritimus,22823,2012,2008,VU
2014,Alopias vulpinus,39339,2011,2009,VU
2014,Balaena mysticetus,2467,2011,2008,LC
2014,Balaena mysticetus,2472,2011,2008,CR
2014,Balaenoptera acutorostrata,2474,2011,2008,LC
2014,Balaenoptera musculus,2477,2011,2008,EN
2014,Balaenoptera physalus,2478,2011,2008,EN
2014,Cetorhinus maximus,4292,2011,2009,VU
2014,Cetorhinus maximus,39340,2011,2009,EN
2014,Eubalaena glacialis,41712,2011,2008,EN
2014,Isurus oxyrinchus,39341,2011,2009,VU
2014,Isurus oxyrinchus,161749,2011,2009,VU
2014,Lamna nasus,39343,2011,2006,CR
2014,Megaptera novaeangliae,13006,2011,2008,LC
2014,Prionace glauca,39381,2011,2009,NT
2014,Ursus maritimus,22823,2011,2008,VU
2014,Alopias vulpinus,39339,2010,2009,VU
2014,Balaena mysticetus,2467,2010,2008,LC
2014,Balaena mysticetus,2472,2010,2008,CR
2014,Balaenoptera acutorostrata,2474,2010,2008,LC
2014,Balaenoptera musculus,2477,2010,2008,EN
2014,Balaenoptera physalus,2478,2010,2008,EN
2014,Cetorhinus maximus,4292,2010,2009,VU
2014,Cetorhinus maximus,39340,2010,2009,EN
2014,Eubalaena glacialis,41712,2010,2008,EN
2014,Isurus oxyrinchus,39341,2010,2009,VU
2014,Isurus oxyrinchus,161749,2010,2009,VU
2014,Lamna nasus,39343,2010,2006,CR
2014,Megaptera novaeangliae,13006,2010,2008,LC
2014,Prionace glauca,39381,2010,2009,NT
2014,Ursus maritimus,22823,2010,2008,VU
2014,Alopias vulpinus,39339,2009,2009,VU
2014,Balaena mysticetus,2467,2009,2008,LC
2014,Balaena mysticetus,2472,2009,2008,CR
2014,Balaenoptera acutorostrata,2474,2009,2008,LC
2014,Balaenoptera musculus,2477,2009,2008,EN
2014,Balaenoptera physalus,2478,2009,2008,EN
2014,Cetorhinus maximus,4292,2009,2009,VU
2014,Cetorhinus maximus,39340,2009,2009,EN
2014,Eubalaena glacialis,41712,2009,2008,EN
2014,Isurus oxyrinchus,39341,2009,2009,VU
2014,Isurus oxyrinchus,161749,2009,2009,VU
2014,Lamna nasus,39343,2009,2006,CR
2014,Megaptera novaeangliae,13006,2009,2008,LC
