rgn_id,year,taxa_code,sust_coeff
1857,2012,Pacific cupped oyster_1062,0.73
1857,2012,Rainbow trout_1063,0.566666667
1857,2012,Scallops nei_1064,0.833333333
1859,2012,Arctic char_1052,0.533333333
1859,2012,Atlantic cod_1053,0.17
1859,2012,Atlantic halibut_1054,0.533333333
1859,2012,Atlantic salmon_1055,0.23
1859,2012,Blue mussel_1056,0.93
1859,2012,Chars nei_1057,0.444010417
1859,2012,European flat oyster_1058,0.83
1859,2012,Finfishes nei_1059,0.444010417
1859,2012,Great Atlantic scallop_1060,0.811764706
1859,2012,Marine crustaceans nei_1061,0.3
1859,2012,Pacific cupped oyster_1062,0.73
1859,2012,Rainbow trout_1063,0.566666667
1859,2012,Scallops nei_1064,0.833333333
1860,2012,Arctic char_1052,0.533333333
1860,2012,Atlantic cod_1053,0.17
1860,2012,Atlantic halibut_1054,0.533333333
1860,2012,Atlantic salmon_1055,0.23
1860,2012,Blue mussel_1056,0.93
1860,2012,Chars nei_1057,0.444010417
1860,2012,European flat oyster_1058,0.83
1860,2012,Finfishes nei_1059,0.444010417
1860,2012,Great Atlantic scallop_1060,0.811764706
1860,2012,Marine crustaceans nei_1061,0.3
1860,2012,Pacific cupped oyster_1062,0.73
1860,2012,Rainbow trout_1063,0.566666667
1860,2012,Scallops nei_1064,0.833333333
1865,2012,Arctic char_1052,0.533333333
1865,2012,Atlantic cod_1053,0.17
1865,2012,Atlantic halibut_1054,0.533333333
1865,2012,Atlantic salmon_1055,0.23
1865,2012,Blue mussel_1056,0.93
1865,2012,Chars nei_1057,0.444010417
1865,2012,European flat oyster_1058,0.83
1865,2012,Finfishes nei_1059,0.444010417
1865,2012,Great Atlantic scallop_1060,0.811764706
1865,2012,Marine crustaceans nei_1061,0.3
1865,2012,Pacific cupped oyster_1062,0.73
1865,2012,Rainbow trout_1063,0.566666667
1865,2012,Scallops nei_1064,0.833333333
1866,2012,Arctic char_1052,0.533333333
1866,2012,Atlantic cod_1053,0.17
1866,2012,Atlantic halibut_1054,0.533333333
1866,2012,Atlantic salmon_1055,0.23
1866,2012,Blue mussel_1056,0.93
1866,2012,Chars nei_1057,0.444010417
1866,2012,European flat oyster_1058,0.83
1866,2012,Finfishes nei_1059,0.444010417
1866,2012,Great Atlantic scallop_1060,0.811764706
1866,2012,Marine crustaceans nei_1061,0.3
1866,2012,Pacific cupped oyster_1062,0.73
1866,2012,Rainbow trout_1063,0.566666667
1866,2012,Scallops nei_1064,0.833333333
1867,2012,Arctic char_1052,0.533333333
1867,2012,Atlantic cod_1053,0.17
1867,2012,Atlantic halibut_1054,0.533333333
1867,2012,Atlantic salmon_1055,0.23
1867,2012,Blue mussel_1056,0.93
1867,2012,Chars nei_1057,0.444010417
1867,2012,European flat oyster_1058,0.83
1867,2012,Finfishes nei_1059,0.444010417
1867,2012,Great Atlantic scallop_1060,0.811764706
1867,2012,Marine crustaceans nei_1061,0.3
1867,2012,Pacific cupped oyster_1062,0.73
1867,2012,Rainbow trout_1063,0.566666667
1867,2012,Scallops nei_1064,0.833333333
1868,2012,Arctic char_1052,0.533333333
1868,2012,Atlantic cod_1053,0.17
1868,2012,Atlantic halibut_1054,0.533333333
1868,2012,Atlantic salmon_1055,0.23
1868,2012,Blue mussel_1056,0.93
1868,2012,Chars nei_1057,0.444010417
1868,2012,European flat oyster_1058,0.83
1868,2012,Finfishes nei_1059,0.444010417
1868,2012,Great Atlantic scallop_1060,0.811764706
1868,2012,Marine crustaceans nei_1061,0.3
1868,2012,Pacific cupped oyster_1062,0.73
1868,2012,Rainbow trout_1063,0.566666667
1868,2012,Scallops nei_1064,0.833333333
1870,2012,Arctic char_1052,0.533333333
1870,2012,Atlantic cod_1053,0.17
1870,2012,Atlantic halibut_1054,0.533333333
1870,2012,Atlantic salmon_1055,0.23
1870,2012,Blue mussel_1056,0.93
1870,2012,Chars nei_1057,0.444010417
1870,2012,European flat oyster_1058,0.83
1870,2012,Finfishes nei_1059,0.444010417
1870,2012,Great Atlantic scallop_1060,0.811764706
1870,2012,Marine crustaceans nei_1061,0.3
1870,2012,Pacific cupped oyster_1062,0.73
1870,2012,Rainbow trout_1063,0.566666667
1870,2012,Scallops nei_1064,0.833333333
1871,2012,Arctic char_1052,0.533333333
1871,2012,Atlantic cod_1053,0.17
1871,2012,Atlantic halibut_1054,0.533333333
1871,2012,Atlantic salmon_1055,0.23
1871,2012,Blue mussel_1056,0.93
1871,2012,Chars nei_1057,0.444010417
1871,2012,European flat oyster_1058,0.83
1871,2012,Finfishes nei_1059,0.444010417
1871,2012,Great Atlantic scallop_1060,0.811764706
1871,2012,Marine crustaceans nei_1061,0.3
1871,2012,Pacific cupped oyster_1062,0.73
1871,2012,Rainbow trout_1063,0.566666667
1871,2012,Scallops nei_1064,0.833333333
1874,2012,Arctic char_1052,0.533333333
1874,2012,Atlantic cod_1053,0.17
1874,2012,Atlantic halibut_1054,0.533333333
1874,2012,Atlantic salmon_1055,0.23
1874,2012,Blue mussel_1056,0.93
1874,2012,Chars nei_1057,0.444010417
1874,2012,European flat oyster_1058,0.83
1874,2012,Finfishes nei_1059,0.444010417
1874,2012,Great Atlantic scallop_1060,0.811764706
1874,2012,Marine crustaceans nei_1061,0.3
1874,2012,Pacific cupped oyster_1062,0.73
1874,2012,Rainbow trout_1063,0.566666667
1874,2012,Scallops nei_1064,0.833333333
1902,2012,Arctic char_1052,0.533333333
1902,2012,Atlantic cod_1053,0.17
1902,2012,Atlantic halibut_1054,0.533333333
1902,2012,Atlantic salmon_1055,0.23
1902,2012,Blue mussel_1056,0.93
1902,2012,Chars nei_1057,0.444010417
1902,2012,European flat oyster_1058,0.83
1902,2012,Finfishes nei_1059,0.444010417
1902,2012,Great Atlantic scallop_1060,0.811764706
1902,2012,Marine crustaceans nei_1061,0.3
1902,2012,Pacific cupped oyster_1062,0.73
1902,2012,Rainbow trout_1063,0.566666667
1902,2012,Scallops nei_1064,0.833333333
1903,2012,Arctic char_1052,0.533333333
1903,2012,Atlantic cod_1053,0.17
1903,2012,Atlantic halibut_1054,0.533333333
1903,2012,Atlantic salmon_1055,0.23
1903,2012,Blue mussel_1056,0.93
1903,2012,Chars nei_1057,0.444010417
1903,2012,European flat oyster_1058,0.83
1903,2012,Finfishes nei_1059,0.444010417
1903,2012,Great Atlantic scallop_1060,0.811764706
1903,2012,Marine crustaceans nei_1061,0.3
1903,2012,Pacific cupped oyster_1062,0.73
1903,2012,Rainbow trout_1063,0.566666667
1903,2012,Scallops nei_1064,0.833333333
1911,2012,Arctic char_1052,0.533333333
1911,2012,Atlantic cod_1053,0.17
1911,2012,Atlantic halibut_1054,0.533333333
1911,2012,Atlantic salmon_1055,0.23
1911,2012,Blue mussel_1056,0.93
1911,2012,Chars nei_1057,0.444010417
1911,2012,European flat oyster_1058,0.83
1911,2012,Finfishes nei_1059,0.444010417
1911,2012,Great Atlantic scallop_1060,0.811764706
1911,2012,Marine crustaceans nei_1061,0.3
1911,2012,Pacific cupped oyster_1062,0.73
1911,2012,Rainbow trout_1063,0.566666667
1911,2012,Scallops nei_1064,0.833333333
1913,2012,Arctic char_1052,0.533333333
1913,2012,Atlantic cod_1053,0.17
1913,2012,Atlantic halibut_1054,0.533333333
1913,2012,Atlantic salmon_1055,0.23
1913,2012,Blue mussel_1056,0.93
1913,2012,Chars nei_1057,0.444010417
1913,2012,European flat oyster_1058,0.83
1913,2012,Finfishes nei_1059,0.444010417
1913,2012,Great Atlantic scallop_1060,0.811764706
1913,2012,Marine crustaceans nei_1061,0.3
1913,2012,Pacific cupped oyster_1062,0.73
1913,2012,Rainbow trout_1063,0.566666667
1913,2012,Scallops nei_1064,0.833333333
1917,2012,Arctic char_1052,0.533333333
1917,2012,Atlantic cod_1053,0.17
1917,2012,Atlantic halibut_1054,0.533333333
1917,2012,Atlantic salmon_1055,0.23
1917,2012,Blue mussel_1056,0.93
1917,2012,Chars nei_1057,0.444010417
1917,2012,European flat oyster_1058,0.83
1917,2012,Finfishes nei_1059,0.444010417
1917,2012,Great Atlantic scallop_1060,0.811764706
1917,2012,Marine crustaceans nei_1061,0.3
1917,2012,Pacific cupped oyster_1062,0.73
1917,2012,Rainbow trout_1063,0.566666667
1917,2012,Scallops nei_1064,0.833333333
1919,2012,Arctic char_1052,0.533333333
1919,2012,Atlantic cod_1053,0.17
1919,2012,Atlantic halibut_1054,0.533333333
1919,2012,Atlantic salmon_1055,0.23
1919,2012,Blue mussel_1056,0.93
1919,2012,Chars nei_1057,0.444010417
1919,2012,European flat oyster_1058,0.83
1919,2012,Finfishes nei_1059,0.444010417
1919,2012,Great Atlantic scallop_1060,0.811764706
1919,2012,Marine crustaceans nei_1061,0.3
1919,2012,Pacific cupped oyster_1062,0.73
1919,2012,Rainbow trout_1063,0.566666667
1919,2012,Scallops nei_1064,0.833333333
1920,2012,Arctic char_1052,0.533333333
1920,2012,Atlantic cod_1053,0.17
1920,2012,Atlantic halibut_1054,0.533333333
1920,2012,Atlantic salmon_1055,0.23
1920,2012,Blue mussel_1056,0.93
1920,2012,Chars nei_1057,0.444010417
1920,2012,European flat oyster_1058,0.83
1920,2012,Finfishes nei_1059,0.444010417
1920,2012,Great Atlantic scallop_1060,0.811764706
