rgn_id,year,a_prot_1km
1929,2009,6630.75
1929,2010,6731
1929,2011,6736.25
1929,2012,6736.5
1929,2013,6765.25
1929,2014,6769.75
1929,2015,6778.5
1929,2016,6819.75
1929,2017,6819.75
1929,2018,6819.75
1931,2000,4988
1931,2001,5001.75
1931,2002,5231.25
1931,2003,5860.5
1931,2004,6165
1931,2005,6386
1931,2006,6489.5
1931,2007,6491.5
1931,2008,6495.5
1931,2009,6630.75
1931,2010,6731
1931,2011,6736.25
1931,2012,6736.5
1931,2013,6765.25
1931,2014,6769.75
1931,2015,6778.5
1931,2016,6819.75
1931,2017,6819.75
1931,2018,6819.75
1933,2000,4988
1933,2001,5001.75
1933,2002,5231.25
1933,2003,5860.5
1933,2004,6165
1933,2005,6386
1933,2006,6489.5
1933,2007,6491.5
1933,2008,6495.5
1933,2009,6630.75
1933,2010,6731
1933,2011,6736.25
1933,2012,6736.5
1933,2013,6765.25
1933,2014,6769.75
1933,2015,6778.5
1933,2016,6819.75
1933,2017,6819.75
1933,2018,6819.75
1936,2000,4988
1936,2001,5001.75
1936,2002,5231.25
1936,2003,5860.5
1936,2004,6165
1936,2005,6386
1936,2006,6489.5
1936,2007,6491.5
1936,2008,6495.5
1936,2009,6630.75
1936,2010,6731
1936,2011,6736.25
1936,2012,6736.5
1936,2013,6765.25
1936,2014,6769.75
1936,2015,6778.5
1936,2016,6819.75
1936,2017,6819.75
1936,2018,6819.75
1938,2000,4988
1938,2001,5001.75
1938,2002,5231.25
1938,2003,5860.5
1938,2004,6165
1938,2005,6386
1938,2006,6489.5
1938,2007,6491.5
1938,2008,6495.5
1938,2009,6630.75
1938,2010,6731
1938,2011,6736.25
1938,2012,6736.5
1938,2013,6765.25
1938,2014,6769.75
1938,2015,6778.5
1938,2016,6819.75
1938,2017,6819.75
1938,2018,6819.75
1939,2000,4988
1939,2001,5001.75
1939,2002,5231.25
1939,2003,5860.5
1939,2004,6165
1939,2005,6386
1939,2006,6489.5
1939,2007,6491.5
1939,2008,6495.5
1939,2009,6630.75
1939,2010,6731
1939,2011,6736.25
1939,2012,6736.5
1939,2013,6765.25
1939,2014,6769.75
1939,2015,6778.5
1939,2016,6819.75
1939,2017,6819.75
1939,2018,6819.75
1940,2000,4988
1940,2001,5001.75
1940,2002,5231.25
1940,2003,5860.5
1940,2004,6165
1940,2005,6386
1940,2006,6489.5
1940,2007,6491.5
1940,2008,6495.5
1940,2009,6630.75
1940,2010,6731
1940,2011,6736.25
1940,2012,6736.5
1940,2013,6765.25
1940,2014,6769.75
1940,2015,6778.5
1940,2016,6819.75
1940,2017,6819.75
1940,2018,6819.75
1941,2000,4988
1941,2001,5001.75
1941,2002,5231.25
1941,2003,5860.5
1941,2004,6165
1941,2005,6386
1941,2006,6489.5
1941,2007,6491.5
1941,2008,6495.5
1941,2009,6630.75
1941,2010,6731
1941,2011,6736.25
1941,2012,6736.5
1941,2013,6765.25
1941,2014,6769.75
1941,2015,6778.5
1941,2016,6819.75
1941,2017,6819.75
1941,2018,6819.75
1942,2000,4988
1942,2001,5001.75
1942,2002,5231.25
1942,2003,5860.5
1942,2004,6165
1942,2005,6386
1942,2006,6489.5
1942,2007,6491.5
1942,2008,6495.5
1942,2009,6630.75
1942,2010,6731
1942,2011,6736.25
1942,2012,6736.5
1942,2013,6765.25
1942,2014,6769.75
1942,2015,6778.5
1942,2016,6819.75
1942,2017,6819.75
1942,2018,6819.75
1943,2000,4988
1943,2001,5001.75
1943,2002,5231.25
1943,2003,5860.5
1943,2004,6165
1943,2005,6386
1943,2006,6489.5
1943,2007,6491.5
1943,2008,6495.5
1943,2009,6630.75
1943,2010,6731
1943,2011,6736.25
1943,2012,6736.5
1943,2013,6765.25
1943,2014,6769.75
1943,2015,6778.5
1943,2016,6819.75
1943,2017,6819.75
1943,2018,6819.75
2002,2000,4988
2002,2001,5001.75
2002,2002,5231.25
2002,2003,5860.5
2002,2004,6165
2002,2005,6386
2002,2006,6489.5
2002,2007,6491.5
2002,2008,6495.5
2002,2009,6630.75
2002,2010,6731
